OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-0210782005,"NAHUNGA CREEK AT SR1301 NEAR WARSAW, NC",Stream,,3030007,8.3,sq mi,,,35.0268324,-78.011098,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,61,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210787855,"GROVE CRK AT SR1375 NR WARSAW, NC",Stream,,3030007,6,sq mi,,,34.9893328,-78.0097088,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,61,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210788875,"GROVE CRK AT SR1301 NR KENANSVILLE, NC",Stream,,3030007,20.1,sq mi,,,34.96488839,-77.9733184,,1,seconds,Interpolated from MAP.,NAD83,100,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,61,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210789100,"GROVE CREEK AT KENANSVILLE, NC",Stream,,3030007,22.6,sq mi,,,34.97044378,-77.9585957,,1,seconds,Interpolated from MAP.,NAD83,750,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,61,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0210789120,"GROVE CRK NR KENANSVILLE, NC",Stream,,3030007,35.5,sq mi,,,34.97377676,-77.91359399,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,61,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02108000,"NORTHEAST CAPE FEAR RIVER NEAR CHINQUAPIN, NC",Stream,,3030007,599,sq mi,,,34.82888889,-77.8322222,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,17.28,feet,0.01,feet,Level or other surveyed method.,NGVD29,US,37,61,,,,,,,,,NWIS
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8680000,STEWARTS CRK AT WARSAW,River/Stream,STEWARTS CRK AT WARSAW,3030006,,,,,34.994,-78.078,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8700000,STEWARTS CRK NR WARSAW,River/Stream,STEWARTS CRK NR WARSAW,3030006,,,,,34.962,-78.081,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B8720000,MILLERS CRK AT SR 1107 MAGNOLIA,River/Stream,MILLERS CRK AT SR 1107 MAGNOLIA,3030006,,,,,34.911,-78.101,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-B9090000,NORTHEAST CAPE FEAR RIV AT NC 403 NR WILLIAMS,River/Stream,NORTHEAST CAPE FEAR RIV AT NC 403 NR WILLIAMS,3030007,,,,,35.1784,-77.9807,24000,,,Interpolation-Map,NAD83,,,,,,,US,37,61,,,,,,,,,STORET
