OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityStartDate,ActivityStartTime/Time,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,MonitoringLocationIdentifier,HydrologicEvent,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,ResultLaboratoryCommentText,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0004676-1970,Sample,Water,7/27/70,11:55:00,0.33,ft,NCLEGACY,21NC01WQ-B9260000,,Fecal Coliform,Total,990,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0004678-1970,Sample,Water,7/27/70,12:25:00,0.33,ft,NCLEGACY,21NC01WQ-B9280000,,Fecal Coliform,Total,570,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0004664-1970,Sample,Water,7/27/70,13:45:00,0.33,ft,NCLEGACY,21NC01WQ-B9140000,,Fecal Coliform,Total,320,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0004656-1970,Sample,Water,7/27/70,15:53:00,0.33,ft,NCLEGACY,21NC01WQ-B8680000,,Fecal Coliform,Total,22000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0004666-1970,Sample,Water,7/27/70,14:05:00,0.33,ft,NCLEGACY,21NC01WQ-B9160000,,Fecal Coliform,Total,620,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0004668-1970,Sample,Water,7/27/70,14:30:00,0.33,ft,NCLEGACY,21NC01WQ-B9180000,,Fecal Coliform,Total,550,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0004658-1970,Sample,Water,7/27/70,16:15:00,0.33,ft,NCLEGACY,21NC01WQ-B8700000,,Fecal Coliform,Total,54000,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0006640-1970,Sample,Water,9/8/70,12:20:00,0.33,ft,NCLEGACY,21NC01WQ-B9260000,,Fecal Coliform,Total,50,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0006642-1970,Sample,Water,9/8/70,12:45:00,0.33,ft,NCLEGACY,21NC01WQ-B9280000,,Fecal Coliform,Total,20,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
21NC01WQ,NCDENR-DWQ,21NC01WQ-1970-0006628-1970,Sample,Water,9/8/70,16:25:00,0.33,ft,NCLEGACY,21NC01WQ-B9140000,,Fecal Coliform,Total,60,#/100ml,Final,FEC_MF,21NC01WQ,,,,,,STORET
