OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,ResultValueTypeName,ResultCommentText,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99300128,Sample-Routine,Water,Surface Water,12/16/92,14:00:00,EST,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,"Stable, high stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-76 TM,Fecal Coliform,100,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98900038,Sample-Routine,Water,Surface Water,11/3/88,12:55:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Rising stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,100,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000285,Sample-Routine,Water,Surface Water,3/24/80,10:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,110,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99400414,Sample-Routine,Water,Surface Water,12/6/93,14:15:00,EST,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),,Weighted-bottle sampler,Fecal Coliform,110,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99203621,Sample-Routine,Water,Surface Water,9/15/92,14:30:00,EDT,,,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),,US DH-76 TM,Fecal Coliform,120,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500204,Sample-Routine,Water,Surface Water,5/13/85,13:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,"Stable, low stage",Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,140,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100160,Sample-Routine,Water,Surface Water,7/29/81,10:45:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,150,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600308,Sample-Routine,Water,Surface Water,5/6/86,15:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,150,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98700851,Sample-Routine,Water,Surface Water,7/23/87,12:00:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Falling stage,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,160,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100156,Sample-Routine,Water,Surface Water,3/24/81,14:00:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02091500,,Not determined,Routine sample,USGS,USGS,USGS,,Unknown,Fecal Coliform,160,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
