OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-02080500,"ROANOKE RIVER AT ROANOKE RAPIDS, NC",Stream,,3010107,8384,sq mi,,,36.46,-77.6336111,,0.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,43.84,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,83,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02082731,"DEVILS CRADLE CREEK AT SR1412 NEAR ALERT, NC",Stream,,3020101,13.4,sq mi,,,36.2009825,-78.2383267,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,69,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02083500,"TAR RIVER AT TARBORO, NC",Stream,,3020103,2183,sq mi,,,35.89444444,-77.5330556,,0.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,9.32,feet,0.01,feet,Reported method of determination.,NAVD88,US,37,65,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02083833,"PETE MITCHELL SWAMP AT SR1409 NEAR PENNY HILL, NC",Stream,,3020103,18,sq mi,,,35.76665556,-77.4933111,24000,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,37,147,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084148,"CHICOD CR AT SR1565 NR GRIMESLAND, NC",Stream,,3020103,19,sq mi,,,35.5326627,-77.18662439,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,147,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084158,"COW SWAMP NEAR GRIMESLAND, NC",Stream,,3020103,17,sq mi,,,35.53349599,-77.2246817,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,147,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084160,"CHICOD CR AT SR1760 NEAR SIMPSON, NC",Stream,,3020103,45,sq mi,,,35.56166667,-77.2308333,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,-1.1,feet,1,feet,Reported method of determination.,NAVD88,US,37,147,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084164,"JUNIPER BRANCH AT SR1766 NR SIMPSON, NC",Stream,,3020103,7.5,sq mi,,,35.5654399,-77.24496069,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,147,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084317,"BLACK SWAMP NR BATTS CROSSROADS, NC",Stream,,3020103,1.02,sq mi,,,35.70904947,-77.0977341,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,13,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084540,"DURHAM CREEK AT EDWARD, NC",Stream,,3020104,26,sq mi,,,35.32388889,-76.8741667,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,-0.88,feet,1,feet,Reported method of determination.,NAVD88,US,37,13,,,,,,,,,NWIS
