OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodQualifierTypeName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,ResultValueTypeName,ResultCommentText,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200088,Sample-Routine,Water,Surface Water,8/12/82,12:45:00,EDT,,"USGS-Atlanta Central Laboratory, GA",USGS-02084164,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,Not Detected,Fecal Coliform,,,Historical,Actual,,31625,,,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98500054,Sample-Routine,Water,Surface Water,4/12/85,8:40:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,100,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600314,Sample-Routine,Water,Surface Water,5/8/86,11:15:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084164,,"Stable, low stage",Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,100,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200051,Sample-Routine,Water,Surface Water,1/5/82,14:55:00,EST,,"USGS-Atlanta Central Laboratory, GA",USGS-02084148,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,100,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97900143,Sample-Routine,Water,Surface Water,11/29/78,15:00:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084158,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,110,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99401298,Sample-Routine,Water,Surface Water,2/16/94,9:00:00,EST,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,Falling stage,Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),,,Weighted-bottle sampler,,Fecal Coliform,110,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000078,Sample-Routine,Water,Surface Water,1/2/80,11:00:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100102,Sample-Routine,Water,Surface Water,11/17/80,12:25:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084164,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800207,Sample-Routine,Water,Surface Water,11/10/77,12:00:00,EST,,,USGS-02084160,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,120,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100073,Sample-Routine,Water,Surface Water,5/12/81,10:00:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084158,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,1200,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99301054,Sample-Routine,Water,Surface Water,5/17/93,12:30:00,EDT,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02083833,,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),,,US DH-81 with Teflon cap and nozzle,,Fecal Coliform,140,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99202008,Sample-Routine,Water,Surface Water,8/26/92,11:30:00,EDT,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,Falling stage,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,1400,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000064,Sample-Routine,Water,Surface Water,11/5/79,14:00:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084158,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,14000,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100083,Sample-Routine,Water,Surface Water,1/13/81,13:30:00,EST,,,USGS-02084160,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,150,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200052,Sample-Routine,Water,Surface Water,2/24/82,13:00:00,EST,,"USGS-Atlanta Central Laboratory, GA",USGS-02084148,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,16,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100119,Sample-Routine,Water,Surface Water,8/31/81,17:00:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084164,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,160,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600008,Sample-Routine,Water,Surface Water,10/23/85,15:35:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084148,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,160,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800206,Sample-Routine,Water,Surface Water,11/8/77,17:00:00,EST,,,USGS-02084160,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,160,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400102,Sample-Routine,Water,Surface Water,9/13/84,12:10:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084164,,Peak stage,Flood,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,1600,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400052,Sample-Routine,Water,Surface Water,9/14/84,14:35:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084148,,Rising stage,Flood,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,1600,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100100,Sample-Routine,Water,Surface Water,8/31/81,12:45:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,180,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200075,Sample-Routine,Water,Surface Water,1/18/82,14:45:00,EST,,"USGS-Atlanta Central Laboratory, GA",USGS-02084160,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,180,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200061,Sample-Routine,Water,Surface Water,1/4/82,14:30:00,EST,,"USGS-Atlanta Central Laboratory, GA",USGS-02084158,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,1800,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400106,Sample-Routine,Water,Surface Water,9/14/84,13:10:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084164,,Rising stage,Flood,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,1800,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99201961,Sample-Routine,Water,Surface Water,8/5/92,11:15:00,EDT,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02084160,ROE RR,Falling stage,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,190,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000051,Sample-Routine,Water,Surface Water,11/6/79,9:00:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084148,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,200,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200072,Sample-Routine,Water,Surface Water,12/1/81,14:50:00,EST,,"USGS-Atlanta Central Laboratory, GA",USGS-02084160,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,200,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98200063,Sample-Routine,Water,Surface Water,2/24/82,12:45:00,EST,,"USGS-Atlanta Central Laboratory, GA",USGS-02084158,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,2000,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99300865,Sample-Routine,Water,Surface Water,4/22/93,11:15:00,EDT,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02083833,ANION RERUN VALUES DUP'ED,"Stable, normal stage",Routine sample,10,USGS parameter code 82398,Equal width increment (ewi),,,US DH-81 with Teflon cap and nozzle,,Fecal Coliform,21,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100069,Sample-Routine,Water,Surface Water,11/18/80,10:15:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084158,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,210,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99201978,Sample-Routine,Water,Surface Water,8/12/92,9:45:00,EDT,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,210,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99201996,Sample-Routine,Water,Surface Water,8/17/92,16:00:00,EDT,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,"Stable, high stage",Storm,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,210,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400084,Sample-Routine,Water,Surface Water,9/13/84,13:10:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,Peak stage,Flood,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,2100,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97800175,Sample-Routine,Water,Surface Water,4/26/78,18:45:00,EST,,,USGS-02084148,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,2100,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99201998,Sample-Routine,Water,Surface Water,8/21/92,10:45:00,EDT,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,"Stable, high stage",Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,2200,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400038,Sample-Routine,Water,Surface Water,1/11/84,11:55:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084148,,Rising stage,Flood,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,2200,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400050,Sample-Routine,Water,Surface Water,9/13/84,15:00:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084148,,Falling stage,Flood,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,2200,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99201947,Sample-Routine,Water,Surface Water,7/28/92,11:00:00,EDT,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02084160,PH UPDATED DUE TO FAULTY PROBE,Rising stage,Storm,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,22000,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600011,Sample-Routine,Water,Surface Water,1/29/86,15:00:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084164,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,24,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98400075,Sample-Routine,Water,Surface Water,1/3/84,12:30:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084160,,Falling stage,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,240,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600524,Sample-Routine,Water,Surface Water,1/29/86,15:00:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084158,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,2600,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600316,Sample-Routine,Water,Surface Water,5/8/86,10:00:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084148,,"Stable, low stage",Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,280,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98000089,Sample-Routine,Water,Surface Water,11/6/79,15:10:00,EST,,U.S. Geological Survey-Water Resources Discipline,USGS-02084164,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,2900,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600010,Sample-Routine,Water,Surface Water,10/23/85,16:30:00,EDT,,U.S. Geological Survey-Water Resources Discipline,USGS-02084158,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,300,cfu/100ml,Historical,Estimated,,31625,,,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98300044,Sample-Routine,Water,Surface Water,3/1/83,11:50:00,EST,,"USGS-Atlanta Central Laboratory, GA",USGS-02084158,,Not determined,Routine sample,USGS,USGS,USGS,,,Unknown,,Fecal Coliform,3000,cfu/100ml,Historical,Actual,,31625,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99400143,Sample-Routine,Water,Surface Water,11/18/93,10:00:00,EST,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-02083833,,Rising stage,Routine sample,40,USGS parameter code 82398,Multiple verticals,,,Other,,Fecal Coliform,31,cfu/100ml,Historical,Actual,,31625,E,USGS,,,,,,,,NWIS
