OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,USGS-02043862,"PASQUOTANK R AT ELIZABETH CITY, NC",Stream,3010205,300,sq mi,36.30120278,-76.217225,,0.01,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,139,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02050160,"CHOWAN RIVER NEAR EURE, NC",Stream,3010203,2570,sq mi,36.5084861,-76.908016,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,73,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02053652,"CHOWAN RIVER NR EDENHOUSE, NC",Stream,3010203,4870,sq mi,36.0479377,-76.69466808,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,15,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02070500,"MAYO RIVER NEAR PRICE, NC",Stream,3010103,242,sq mi,36.53388889,-79.99138889,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,689.95,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,157,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02074000,"SMITH RIVER AT EDEN, NC",Stream,3010103,538,sq mi,36.52555556,-79.7655556,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,539.56,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,157,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02074218,"DAN RIVER NEAR MAYFIELD, NC",Stream,3010103,1778,sq mi,36.5415273,-79.6055852,,1,seconds,Interpolated from MAP.,NAD83,458.4,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,157,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02077300,"HYCO RIVER AT MCGHEES MILL, NC",Stream,3010104,191,sq mi,36.51736257,-79.0280678,,1,seconds,Interpolated from MAP.,NAD83,349.78,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,145,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02080500,"ROANOKE RIVER AT ROANOKE RAPIDS, NC",Stream,3010107,8384,sq mi,36.46,-77.6336111,,0.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,43.84,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,83,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02081000,"ROANOKE RIVER NEAR SCOTLAND NECK, NC",Stream,3010107,8671,sq mi,36.20916667,-77.38388889,,0.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5.77,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,83,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02082731,"DEVILS CRADLE CREEK AT SR1412 NEAR ALERT, NC",Stream,3020101,13.4,sq mi,36.2009825,-78.2383267,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,69,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02083500,"TAR RIVER AT TARBORO, NC",Stream,3020103,2183,sq mi,35.89444444,-77.5330556,,0.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,9.32,feet,0.01,feet,Reported method of determination.,NAVD88,US,37,65,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02083833,"PETE MITCHELL SWAMP AT SR1409 NEAR PENNY HILL, NC",Stream,3020103,18,sq mi,35.76665556,-77.4933111,24000,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,37,147,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084148,"CHICOD CR AT SR1565 NR GRIMESLAND, NC",Stream,3020103,19,sq mi,35.5326627,-77.18662439,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,147,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084158,"COW SWAMP NEAR GRIMESLAND, NC",Stream,3020103,17,sq mi,35.53349599,-77.2246817,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,147,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084160,"CHICOD CR AT SR1760 NEAR SIMPSON, NC",Stream,3020103,45,sq mi,35.56166667,-77.2308333,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,-1.1,feet,1,feet,Reported method of determination.,NAVD88,US,37,147,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084164,"JUNIPER BRANCH AT SR1766 NR SIMPSON, NC",Stream,3020103,7.5,sq mi,35.5654399,-77.24496069,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,147,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084317,"BLACK SWAMP NR BATTS CROSSROADS, NC",Stream,3020103,1.02,sq mi,35.70904947,-77.0977341,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,13,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084472,"PAMLICO RIVER AT WASHINGTON, NC",Stream,3020104,3200,sq mi,35.5433333,-77.0619444,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,-1,feet,1,feet,Reported method of determination.,NAVD88,US,37,13,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084540,"DURHAM CREEK AT EDWARD, NC",Stream,3020104,26,sq mi,35.32388889,-76.8741667,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,-0.88,feet,1,feet,Reported method of determination.,NAVD88,US,37,13,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208455141,"GODLEY DITCH, SOUTH NR CAMPBELL CREEK, NC",Stream: Ditch,3020104,0.1066,sq mi,35.2862809,-76.69687279,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,13,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084556,"NORTH LAKE CANAL ABOVE PUNGO LAKE NR WENONA, NC",Stream: Canal,3020104,0.29,sq mi,35.72655384,-76.5166004,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,187,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084557,"VAN SWAMP NEAR HOKE, NC",Stream,3020104,23,sq mi,35.7308333,-76.7461111,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,11.8,feet,1,feet,Global Positioning System.,NAVD88,US,37,187,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02084558,"ALBEMARLE CANAL NR SWINDELL, NC",Stream: Canal,3020104,74.65,sq mi,35.63771389,-76.6786083,,1,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,37,13,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208458600,"CREDLE DITCH NR ROSE BAY, NC",Stream: Ditch,3020105,0.1086,sq mi,35.44572255,-76.3732548,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,95,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085000,"ENO RIVER AT HILLSBOROUGH, NC",Stream,3020201,66,sq mi,36.0711111,-79.0955556,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,487.44,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,135,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085070,"ENO RIVER NEAR DURHAM, NC",Stream,3020201,141,sq mi,36.0722222,-78.9077778,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,269.92,feet,0.01,feet,Level or other surveyed method.,NAVD88,US,37,63,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085079,"ENO RIVER NEAR WEAVER, NC",Stream,3020201,148,sq mi,36.07208829,-78.8627848,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,37,63,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02085220,"LITTLE RIVER NEAR ORANGE FACTORY, NC",Stream,3020201,80.4,sq mi,36.1390316,-78.90639669,,1,seconds,Interpolated from MAP.,NAD83,333.98,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,63,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086500,"FLAT RIVER AT DAM NEAR BAHAMA, NC",Stream,3020201,168,sq mi,36.1486111,-78.82888889,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,256.6,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,63,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086624,"KNAP OF REEDS CREEK NEAR BUTNER, NC",Stream,3020201,43,sq mi,36.12792215,-78.7983389,,1,seconds,Interpolated from MAP.,NAD83,254.56,feet,0.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,37,77,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02086849,"ELLERBE CREEK NEAR GORMAN, NC",Stream,3020201,21.9,sq mi,36.05931106,-78.8325065,,1,seconds,Interpolated from MAP.,NAD83,252.31,feet,0.05,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,37,63,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-0208700780,"LITTLE LICK CR AB SR1814 NR OAK GROVE, NC",Stream,3020201,10.1,sq mi,35.9865346,-78.7991726,,1,seconds,Interpolated from MAP.,NAD83,265,feet,1,feet,Interpolated from topographic map.,NGVD29,US,37,63,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02087183,"NEUSE RIVER NEAR FALLS, NC",Stream,3020201,771,sq mi,35.94,-78.5808333,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,194.69,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,183,NWIS
USGS-NC,USGS North Carolina Water Science Center,USGS-02087500,"NEUSE RIVER NEAR CLAYTON, NC",Stream,3020201,1150,sq mi,35.6472222,-78.4052778,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,128.41,feet,0.01,feet,Reported method of determination.,NGVD29,US,37,101,NWIS
