OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,ResultValueTypeName,ResultCommentText,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400141,Sample-Routine,Water,Surface Water,4/22/74,13:15:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,1200,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400148,Sample-Routine,Water,Surface Water,7/24/74,10:30:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,1400,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97300241,Sample-Routine,Water,Surface Water,9/18/73,6:30:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,160,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97300242,Sample-Routine,Water,Surface Water,9/25/73,11:30:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,200,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97600245,Sample-Routine,Water,Surface Water,5/26/76,13:00:00,EDT,,,,Other:Not valid for new data entry,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,210,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400144,Sample-Routine,Water,Surface Water,6/4/74,15:20:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,2100,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400146,Sample-Routine,Water,Surface Water,7/2/74,13:00:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,240,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97600228,Sample-Routine,Water,Surface Water,10/15/75,11:05:00,EDT,,,,Other:Not valid for new data entry,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,250,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97500129,Sample-Routine,Water,Surface Water,7/23/75,13:25:00,EDT,,,,Other:Not valid for new data entry,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,270,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97500123,Sample-Routine,Water,Surface Water,5/27/75,11:15:00,EDT,,,,Other:Not valid for new data entry,USGS-02089500,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Fecal Coliform,,280,cfu/100ml,Historical,Actual,,31616,,,,,,,,,,NWIS
