OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97701096,Sample-Routine,Water,Groundwater,11/11/76,11:30:00,EST,,,,,USGS-354347076313301,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97801631,Sample-Routine,Water,Groundwater,1/3/78,14:35:00,EST,,,,,USGS-354347076313301,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98900562,Sample-Routine,Water,Groundwater,11/21/88,10:55:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351330080410801,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100349,Sample-Routine,Water,Surface Water,11/12/80,12:30:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02129000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98800578,Sample-Routine,Water,Groundwater,7/18/88,11:30:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-351330080410801,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-WV,USGS West Virginia Water Science Center,nwiswv.01.99700306,Sample-Routine,Water,Groundwater,7/2/97,10:00:00,EDT,140,feet,National Water Quality Assessment Program (NAWQA),U.S. Geological Survey-Water Resources Discipline,USGS-361327081354601,,,"Stable, normal stage",Routine sample,4040,USGS parameter code 82398,Submersible pump,Submersible positive-pressure pump,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97700725,Sample-Routine,Water,Surface Water,1/31/77,11:30:00,EST,,,,Other:Not valid for new data entry,USGS-02129000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,,Fecal Coliform,1,cfu/100ml,Historical,,Estimated,31625,,,,counts outside acceptable range,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98600377,Sample-Routine,Water,Surface Water,5/28/86,14:15:00,EDT,,,,U.S. Geological Survey-Water Resources Discipline,USGS-02086624,,,"Stable, low stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.98100441,Sample-Routine,Water,Surface Water,2/9/81,13:15:00,EST,,,,U.S. Geological Survey-Water Resources Discipline,USGS-03460000,,,Not determined,Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.99400033,Sample-Routine,Water,Surface Water,10/19/93,17:20:00,EDT,0.5,meters,,U.S. Geological Survey-Water Resources Discipline,USGS-0214196095,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Not Detected,Fecal Coliform,,,Historical,,Actual,31625,,,,,Historical Lower Reporting Limit,1,cfu/100ml,NWIS
