OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,SampleCollectionMethod/SampleCollectionEquipmentCommentText,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultStatusIdentifier,ResultValueTypeName,ResultCommentText,FrequencyClassDescriptorCode,FrequencyClassDescriptorUnitCode,LowerClassBoundValue,UpperClassBoundValue,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,AnalysisStartTime/Time,ProviderName
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2008-001511252,Sample-Routine,Water,,4/7/08,14:00:00,EDT,0.1,m,NCAMBNT,,21NC03WQ-B8545000,,34.92735,-78.46568,Grab,21NC03WQ,Grab,,Water Sampler (Other),,Fecal Coliform,160,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2008-001497841,Sample-Routine,Water,,2/14/08,11:06:00,EST,0.1,m,NCAMBNT,,21NC03WQ-B8725000,REVISED REPORT 03/05/08,34.852,-78.2448,Grab,21NC03WQ,Grab,,Water Sampler (Other),,Fecal Coliform,1200,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2008-001504439,Sample-Routine,Water,,3/10/08,10:40:00,EDT,0.1,m,NCAMBNT,,21NC03WQ-B8580000,REVISED REPORT 03/26/08,35.02483,-78.3717,Grab,21NC03WQ,Grab,,Water Sampler (Other),,Fecal Coliform,65,cfu/100ml,Final,Actual,"B4,Q1; Filters have counts of both >60 or 80 and <20.  Reported value is a total of the counts from all countable filters reported per 100 ml.  Holding time exceeded;  Holding time exceeded prior to receipt by lab.",,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2009-001593636,Sample-Routine,Water,,2/19/09,12:53:00,EST,0.1,m,NCAMBNT,,21NC03WQ-B8750000,,34.7544,-78.2891,Grab,21NC03WQ,Grab,,Water Sampler (Other),,Fecal Coliform,150,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2008-001562104,Sample-Routine,Water,,10/13/08,10:22:00,EDT,0.1,m,NCAMBNT,,21NC03WQ-B8490000,,35.05553,-78.53095,Grab,21NC03WQ,Grab,,Water Sampler (Other),,Fecal Coliform,63,cfu/100ml,Final,Actual,"B4,Q1; Filters have counts of both >60 or 80 and <20.  Reported value is a total of the counts from all countable filters reported per 100 ml.  Holding time exceeded;  Holding time exceeded prior to receipt by lab.",,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2011-001879685,Sample-Routine,Water,,3/28/11,13:00:00,EDT,0.1,m,NCAMBNT,,21NC03WQ-B8545000,,34.92735,-78.46568,Grab,21NC03WQ,Grab,,Water Sampler (Other),,Fecal Coliform,83,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NC03WQ,North Carolina Department of Environmental Resources NCDENR-DWQ WQX,21NC03WQ-AMS2012-001997901,Sample-Routine,Water,,11/27/12,10:15:00,EST,0.1,m,NCAMBNT,NCAMBNT,21NC03WQ-B8580000,,35.02483,-78.3717,Grab,21NC03WQ,Grab,,Water Sampler (Other),,Fecal Coliform,10,cfu/100ml,Final,Actual,Q1; Holding time exceeded;  Holding time exceeded prior to receipt by lab.,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2001-000282579,Sample-Routine,Water,,12/6/01,11:00:00,EST,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8604000,,34.9186,-78.3887,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,23,cfu/100ml,Final,Actual,,,,,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2002-000251035,Sample-Routine,Water,,8/8/02,10:45:00,EDT,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8604000,,34.9186,-78.3887,GRAB,21NCCoalitions,GRAB,,Water Sampler (Other),,Fecal Coliform,39,cfu/100ml,Final,Actual,,,,,,UNKNOWN,21NCMONITORING,UNKNOWN,,,,,,STORET
21NCMONITORING,NCDENR-DWR,21NCMONITORING-LCFRP2006-000080167,Sample-Routine,Water,,5/8/06,9:50:00,EDT,0.1,m,LCFRP,LCFRP,21NCMONITORING-B8740000,"Countable membranes with more than 60 or 80 colonies.  The value reported is calculated using the count from the smallest volume filtered and reported as a greater than """">"""" value.",34.7933,-78.3113,GRAB,21NCMonitoring,GRAB,,Water Sampler (Other),,Fecal Coliform,1200,cfu/100ml,Final,Actual,,,,,,9222D,APHA,9222 D ~ Membrane filtration test for fecal coliforms,1,https://www.nemi.gov/methods/method_summary/5587/,,,,STORET
