OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultDetectionConditionText,MethodSpecificationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,USGSPCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodQualifierTypeName,MethodDescriptionText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,ProviderName
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97600261,Sample-Routine,Water,Surface Water,12/2/75,14:30:00,EST,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,10,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400173,Sample-Routine,Water,Surface Water,2/21/74,13:30:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,Not Detected,,Fecal Coliform,,,,,Historical,,Actual,31616,,,,,,Historical Lower Reporting Limit,10,cfu/100ml,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400174,Sample-Routine,Water,Surface Water,3/5/74,11:15:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,10,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97600268,Sample-Routine,Water,Surface Water,6/17/76,11:35:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,130,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400160,Sample-Routine,Water,Surface Water,10/15/73,10:00:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,140,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97300245,Sample-Routine,Water,Surface Water,9/4/73,13:55:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,170,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400164,Sample-Routine,Water,Surface Water,11/5/73,12:40:00,EST,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,180,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400165,Sample-Routine,Water,Surface Water,11/15/73,11:35:00,EST,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,190,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400171,Sample-Routine,Water,Surface Water,1/17/74,13:45:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,2000,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
USGS-NC,USGS North Carolina Water Science Center,nwisnc.01.97400180,Sample-Routine,Water,Surface Water,6/4/74,13:40:00,EDT,,,,Organization other than U.S. Geological Survey,USGS-02090625,,Not determined,Routine sample,,,USGS,USGS,USGS,,Unknown,,,Fecal Coliform,,210,cfu/100ml,,Historical,,Actual,31616,,,,,,,,,NWIS
